Grup,Var1,Var2,Unit,Private Price,Social Price
Input,Pupuk,Urea ,Rp,1500,2000
Input,Pupuk,TSP,Rp,,
Input,Pupuk,KCL,Rp,,
Input,Pupuk,NPK,Rp,3000,4000
Input,Pupuk,Kapur/Dolomit,Rp,,
Input,Pupuk,MOP,Rp,,
Input,Pupuk,Borax,Rp,1000,1000
Input,Pupuk,Kandang,Rp,,
Input,Herbisida,Round Up,Rp,80000,80000
Input,Herbisida,Basmilang,Rp,,
Input,Herbisida,Lindomin,Rp,,
Input,Pestisida,Ally,Rp,,
Input,Pestisida,Decis,Rp,,
Input,Bahan Tanam /Bibit,Kelapa Sawit,Rp,15000,15000
Input,Bahan Tanam /Bibit,Padi,Rp,4000,4000
Input,Peralatan,Dodos,Rp,150000,150000
Input,Peralatan,Egreg,Rp,225000,225000
Input,Peralatan,Angkong,Rp,300000,300000
Input,Peralatan,Sprayer,Rp,250000,250000
Input,Peralatan,Parang,Rp,50000,50000
Input,Peralatan,Cangkul ,Rp,,
Input,Tenaga Kerja KS,Tebas,Rp,70000,70000
Input,Tenaga Kerja KS,Tumbang,Rp,187500,187500
Input,Tenaga Kerja KS,Bakar,Rp,70000,70000
Input,Tenaga Kerja KS,Pancang,Rp,70000,70000
Input,Tenaga Kerja KS,Pembuatan lubang,Rp,70000,70000
Input,Tenaga Kerja KS,Pembuatan Pagar,Rp,70000,70000
Input,Tenaga Kerja KS,Penanaman,Rp,70000,70000
Input,Tenaga Kerja KS,Pembersihan piringan,Rp,70000,70000
Input,Tenaga Kerja KS,Pruning,Rp,70000,70000
Input,Tenaga Kerja KS,Penyemprotan,Rp,70000,70000
Input,Tenaga Kerja KS,Pemupukan,Rp,70000,70000
Input,Tenaga Kerja KS,Pemanenan,Rp,100000,100000
Input,Tenaga Kerja Pd,Tugal,Rp,70000,70000
Input,Tenaga Kerja Pd,Penyiangan,Rp,70000,70000
Input,Tenaga Kerja Pd,Pencegahan Hama dan Penyakit,Rp,70000,70000
Input,Tenaga Kerja Pd,Pemanenan,Rp,70000,70000
Input,Tenaga Kerja Pd,"Pasca Panen (Jontok, Jemur)",Rp,70000,70000
