komponen,keterangan,unit,harga privat,harga sosial
pupuk,urea,rp,1500,2000
pupuk,sp,rp,2300,2500
pupuk,round up,rp,80000,80000
pupuk,formic acid,rp,6000,6000
bahan tanam /bibit,padi,rp,4000,4000
bahan tanam /bibit,karet lokal,rp,1000,1000
peralatan,Pisau sadap,rp,20000,20000
peralatan,Mangkok penampung (latex cup),rp,200,200
peralatan,Ember karet,rp,10000,10000
peralatan,Cangkul,rp,25000,25000
peralatan,Parang,rp,50000,50000
peralatan,Bak penampung,rp,50000,50000
tenaga kerja,tebas,rp,80000,80000
tenaga kerja,tumbang,rp,80000,80000
tenaga kerja,bakar,rp,80000,80000
tenaga kerja,pancang,rp,80000,80000
tenaga kerja padi,penanaman,rp,80000,80000
tenaga kerja padi,penyiangan,rp,80000,80000
tenaga kerja padi,bird and pig waching,rp,80000,80000
tenaga kerja padi,pemanenan,rp,80000,80000
tenaga kerja padi,pengeringan,rp,80000,80000
tenaga kerja karet,pembuatan lubang,rp,80000,80000
tenaga kerja karet,penanaman,rp,80000,80000
tenaga kerja karet,penyiangan,rp,80000,80000
tenaga kerja karet,pruning,rp,80000,80000
tenaga kerja karet,penyadapan,rp,80000,80000
tenaga kerja panen,panen durian,,80000,80000
tenaga kerja panen,panen duku,,80000,80000
tenaga kerja panen,panen jengkol,,80000,80000
